ID,Type,Name,Date,Time,Venue ID,VIP Price,Gold Price,Silver Price,Bronze Price,General Admission Price,VIP Sold,Gold Sold,Silver Sold,Bronze Sold,General Sold,Total Discounts
10,Sport,UTEP Football 10,11/6/2022,7:05 PM,Sun Bowl Stadium,29.4,25.2,21.0,18.2,14.0,0,0,0,0,0,0.0
11,Sport,UTEP Football 11,11/13/2022,7:05 PM,Sun Bowl Stadium,29.4,25.2,21.0,18.2,14.0,0,0,0,0,0,0.0
12,Sport,UTEP Football 12,11/20/2022,7:05 PM,Sun Bowl Stadium,29.4,25.2,21.0,18.2,14.0,0,0,0,0,0,0.0
13,Sport,UTEP Football 13,11/27/2022,7:05 PM,Sun Bowl Stadium,42.0,36.0,30.0,26.0,20.0,0,0,0,0,0,0.0
14,Sport,UTEP Basketball 1,11/20/2022,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,2,0,0,0,0.0
15,Sport,UTEP Basketball 2,11/22/2022,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
16,Sport,UTEP Basketball 3,11/27/2022,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
17,Sport,UTEP Basketball 4,11/29/2022,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
18,Sport,UTEP Basketball 5,12/4/2022,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
19,Sport,UTEP Basketball 6,12/6/2022,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
1,Sport,UTEP Football 1,9/4/2022,7:05 PM,Sun Bowl Stadium,26.5,22.5,18.75,16.25,12.5,2,13,0,0,0,0.0
2,Sport,UTEP Football 2,9/11/2022,7:05 PM,Sun Bowl Stadium,26.25,22.5,18.75,16.25,12.5,0,5,0,0,0,0.0
48,Sport,3,3,3,Sun Bowl Stadium,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0.0
4,Sport,UTEP Football 4,9/25/2022,7:05 PM,Sun Bowl Stadium,27.3,23.4,19.5,16.9,13.0,2,0,2,0,0,3.9000000000000004
5,Sport,UTEP Football 5,10/2/2022,7:05 PM,Sun Bowl Stadium,27.3,23.4,19.5,16.9,13.0,0,4,0,0,0,9.36
6,Sport,UTEP Football 6,10/9/2022,7:05 PM,Sun Bowl Stadium,28.35,24.3,20.25,17.55,13.5,0,0,0,0,0,0.0
7,Sport,UTEP Football 7,10/16/2022,7:05 PM,Sun Bowl Stadium,28.35,24.3,20.25,17.55,13.5,0,0,5,0,0,10.125
8,Sport,UTEP Football 8,10/23/2022,7:05 PM,Sun Bowl Stadium,29.4,25.2,21.0,18.2,14.0,0,0,0,0,0,0.0
9,Sport,UTEP Football 9,10/30/2022,7:05 PM,Sun Bowl Stadium,29.4,25.2,21.0,18.2,14.0,0,0,0,0,0,0.0
20,Sport,UTEP Basketball 7,12/11/2022,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
21,Sport,UTEP Basketball 8,12/13/2022,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
22,Sport,UTEP Basketball 9,12/18/2022,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
23,Sport,UTEP Basketball 10,12/20/2022,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
24,Sport,UTEP Basketball 11,12/25/2022,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
25,Sport,UTEP Basketball 12,12/27/2022,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
26,Sport,UTEP Basketball 13,1/1/2023,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
27,Sport,UTEP Basketball 14,1/3/2023,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
28,Sport,UTEP Basketball 15,1/8/2023,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
29,Sport,UTEP Basketball 16,1/10/2023,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
30,Sport,UTEP Basketball 17,1/15/2023,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
31,Sport,UTEP Basketball 18,1/17/2023,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
32,Sport,UTEP Basketball 19,1/22/2023,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
33,Sport,UTEP Basketball 20,1/24/2023,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
34,Sport,UTEP Basketball 21,1/29/2023,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
35,Sport,UTEP Basketball 22,1/31/2023,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
36,Sport,UTEP Basketball 23,2/5/2023,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
37,Sport,UTEP Basketball 24,2/7/2023,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
38,Sport,UTEP Basketball 25,2/12/2023,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
39,Sport,UTEP Basketball 26,2/14/2023,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
40,Sport,UTEP Basketball 27,2/19/2023,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
41,Sport,UTEP Basketball 28,2/21/2023,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
42,Sport,UTEP Basketball 29,2/26/2023,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
43,Sport,UTEP Basketball 30,2/28/2023,7:15 PM,Sun Bowl Stadium,35.7,30.6,25.5,22.1,17.0,0,0,0,0,0,0.0
44,Sport,UTEP Basketball 31,3/5/2023,6:30 PM,Sun Bowl Stadium,31.5,27.0,22.5,19.5,15.0,0,0,0,0,0,0.0
45,Special,Santa,4,4,El Paso County Coliseum,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0.0
46,Special,ALdo Party,dec 9,5,Sun Bowl Stadium,3.0,4.0,5.0,6.0,7.0,0,0,0,0,0,0.0
47,Special,s,d,3,Magoffin Auditorium,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0.0
48,Sport,3,3,3,Sun Bowl Stadium,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0.0
49,Special,GUI TESTING 1,Nov 27,3:11 am,San Jacinto Plaza,16.0,15.0,14.0,13.0,12.0,0,0,0,0,0,0.0
50,Special,GUI  TESTING 2,Nov 27,3:23 am,San Jacinto Plaza,15.0,14.0,13.0,12.0,11.0,0,0,0,0,0,0.0
51,Special,GUI TESTING 3,Nov 27,3:25 am,Centenial Plaza,17.0,14.0,13.0,12.0,11.0,0,0,0,0,0,0.0
